parameter,S1_median,S1_lo95,S1_hi95,ST_median,ST_lo95,ST_hi95
MS,-0.00024119323372962735,-0.0023467647432966286,0.0018643782758373736,0.034297648358947504,-0.01853667598482047,0.08713197270271547
GS,0.05425913518024802,0.0036747285878663133,0.10484354177262972,0.808946415627068,0.06662600255728457,1.5512668286968516
S,0.4610481645795928,-0.24298128461845553,1.165077613777641,1.767006762073925,0.056593258883818276,3.4774202652640316
cB,0.0006393601358342958,-0.00020990218650751818,0.0014886224581761097,0.0012951075921670196,-0.0010474029040439493,0.0036376180883779885
MGP,-0.000471178244593536,-0.003856562770964886,0.002914206281777814,0.010223136122886894,-0.007346179026566582,0.02779245127234037
MGN,-0.0010713494843693542,-0.0026688713709022236,0.0005261724021635155,0.2639183561034864,-0.3853151636980752,0.9131518759050481
fGP,0.00011233450511303554,-0.00032857019136921505,0.0005532392015952861,0.0016438495383456415,-0.001123109297936271,0.004410808374627554
cF,0.0011713717457929951,-0.0006065249310473072,0.0029492684226332974,0.014217082517199055,-0.00244129253380255,0.030875457568200662
GF,0.011489784290485814,0.0020871895083683367,0.02089237907260329,0.6718642547733842,0.2065530423991226,1.1371754671476457
rB,0.000467441153891522,-9.636458668065375e-05,0.0010312468944636978,0.004940026331672826,0.00035251083773601716,0.009527541825609633
