"","ID","Reference","Data.source","Longitude","Latitude","Elevation","MAT","MAP","PET","Climate","Ecosystem.type","Methods","Site","MurA","GlcN","SOC","TN","TP","C.N","MBC","MBN","MBC.N","pH","Sand","Silt","Clay"
"1",1,1,"A1",-103.85,49.65,567,3.72,406,1069,"D","Grassland","GC","North America",69,1677,42.3,4.23,0.5,10,204.63,85.02,2.41,6.8,33,46,21
"2",2,1,"A1",-103.85,49.65,567,3.72,406,1069,"D","Cropland","GC","North America",80,1521,32.7,2.94,0.5,11.12,204.63,85.02,2.41,6.8,33,46,21
"3",3,1,"A1",-103.85,49.65,567,3.72,406,1069,"D","Grassland","GC","North America",35,557,9,1.02,0.5,8.82,204.63,85.02,2.41,6.8,33,46,21
"4",4,1,"A1",-103.85,49.65,567,3.72,406,1069,"D","Cropland","GC","North America",12,180,4.2,0.47,0.5,8.94,204.63,85.02,2.41,6.8,33,46,21
"5",5,1,"A1",11.58,49.95,341,8.37,735,830,"D","Forest","GC","Bayreuth, Germany",66,884,70,2,0.7,35,398,67.78,5.87,3.9,13,81,6
"6",6,2,"A1",-102.92,52.1,512,0.9,456,850,"D","Grassland","GC","CutKnife-icam, North American",151,1576,34.8,3.25,0.5,10.71,341.64,53.32,6.41,7.5,57.2,19.4,23.4
"7",7,2,"A1",-104.41,51.6,580,1.6,343,934,"D","Grassland","GC","Elstow, North American",118,1278,26.4,2.5,0.4,10.56,185.13,86.23,2.15,7.3,62.2,19,18.8
"8",8,2,"A1",-106.27,50.57,244,3.2,380,1123,"D","Grassland","GC","Ardill, North American",68,1534,22.7,2.4,0.3,9.46,229.98,82.47,2.79,5.6,58.1,25,16.9
"9",9,2,"A1",-94.74,47.42,233,5,419,928,"D","Grassland","GC","Amor, North American",44,1161,16,1.68,0.8,9.52,405.25,54.01,7.5,5.5,56,17.2,26.8
"10",10,2,"A1",-100.98,47.28,197,6.1,300,1214,"D","Grassland","GC","Joplin, North American",70,781,11.3,1.31,0.7,8.63,235.96,77.35,3.05,7.1,54.2,20.7,25.1
